2x=5,x=5/2,(= (* (x) (2)) (5)),(= (x) (/ (5) (2)))
3x=5,x=5/3,(= (* (3) (x)) (5)),(= (x) (/ (5) (3)))
(x+5)=5,x=0,(= (+ (x) (5)) (5)),(= (x) (0))
(5+x)=8,x=3,(= (+ (5) (x)) (8)),(= (x) (3))
(3x+4)=5,x=1/3,(= (+ (* (x) (3)) (4)) (5)),(= (x) (/ (1) (3)))
((3x+4)+7)=5,x=-2,(= (+ (+ (* (x) (3)) (4)) (7)) (5)),(= (x) (-2))
6x=4x,x=0,(= (* (x) (6)) (* (x) (4))),(= (x) (0))
0=(2x+7x),x=0,(= (0) (+ (* (x) (2)) (* (x) (7)))),(= (x) (0))
5x=((3x+2)+4),x=3,(= (* (5) (x)) (+ (+ (2) (* (3) (x))) (4))),(= (x) (3))
5=2x,x=5/2,(= (5) (* (x) (2))),(= (x) (/ (5) (2)))
5=3x,x=5/3,(= (5) (* (3) (x))),(= (x) (/ (5) (3)))
5=(x+5),x=0,(= (5) (+ (x) (5))),(= (x) (0))
8=(5+x),x=3,(= (8) (+ (5) (x))),(= (x) (3))
5=(3x+4),x=1/3,(= (5) (+ (* (x) (3)) (4))),(= (x) (/ (1) (3)))
5=3x+4+7,x=-2,(= (5) (+ (+ (* (x) (3)) (4)) (7))),(= (x) (-2))
4x=6x,x=0,(= (* (x) (4)) (* (x) (6))),(= (x) (0))
7x+2x=0,x=0,(= (+ (* (x) (2)) (* (x) (7))) (0)),(= (x) (0))
((3x+2)+4)=5x,x=3,(= (+ (+ (2) (* (3) (x))) (4)) (* (5) (x))),(= (x) (3))
(3/x)=5,x=3/5,(= (/ (3) (x)) (5)),(= (x) (/ (3) (5)))
(3/x)=5,x=3/5,(= (5) (/ (3) (x))),(= (x) (/ (3) (5)))
(x-5)=5,x=10,(= (- (x) (5)) (5)),(= (x) (10))
5=(x-5),x=10,(= (5) (- (x) (5))),(= (x) (10))